Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('W.', 'Lock')	 : 1	 : 0.0003558085749866572
('Lock', ',')	 : 1	 : 0.0003566969859104691
(',', 'retired')	 : 4	 : 0.000655307994757536
('retired', 'vice')	 : 1	 : 0.00035618878005342833
('vice', 'president')	 : 11	 : 0.0021193924408336277
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'treasurer')	 : 2	 : 0.0004774789113480821
('treasurer', 'of')	 : 1	 : 0.00035656979853806385
('of', 'Owens-Illinois')	 : 1	 : 0.0003056234718826406
('Owens-Illinois', 'Inc.')	 : 1	 : 0.0003566969859104691
('Inc.', ',')	 : 30	 : 0.005479936362029344
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'named')	 : 42	 : 0.007438159487977858
('named', 'a')	 : 10	 : 0.0019424333392194949
('a', 'director')	 : 24	 : 0.004040077569489335
('director', 'of')	 : 20	 : 0.0037168141592920354
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'transportation')	 : 2	 : 0.000526592943654555
('transportation', 'industry')	 : 1	 : 0.0003564427018356799
('industry', 'supplier')	 : 1	 : 0.000355998576005696
('supplier', ',')	 : 1	 : 0.0003566969859104691
(',', 'increasing')	 : 13	 : 0.001834862385321101
('increasing', 'its')	 : 3	 : 0.0007117437722419929
('its', 'board')	 : 34	 : 0.006102877070619006
('board', 'to')	 : 19	 : 0.003348961821835231
('to', 'six')	 : 5	 : 0.0009592326139088729
('six', 'members')	 : 2	 : 0.0005342831700801424
('members', '.')	 : 16	 : 0.0030109812256464753
('.', 'John')	 : 9	 : 0.001514004542013626
('John', 'J.')	 : 2	 : 0.0005310674455655868
('J.', 'Phelan')	 : 1	 : 0.0003551136363636364
('Phelan', 'Jr.')	 : 1	 : 0.00035656979853806385
('Jr.', ',')	 : 27	 : 0.004969826056088037
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'Big')	 : 4	 : 0.0007106310403638431
('Big', 'Board')	 : 5	 : 0.0010691375623663579
('Board', ',')	 : 3	 : 0.0007112375533428165
(',', 'asserts')	 : 1	 : 0.0002621231979030144
('asserts', 'that')	 : 1	 : 0.0003566969859104691
('that', '``')	 : 7	 : 0.0013644891693672181
('``', '1988')	 : 1	 : 0.00034164673727365904
('1988', 'and')	 : 1	 : 0.00035656979853806385
('and', '1989')	 : 1	 : 0.0003183192742320548
('1989', 'have')	 : 1	 : 0.0003566333808844508
('have', 'been')	 : 7	 : 0.0014124293785310734
('been', 'two')	 : 1	 : 0.00035435861091424523
('two', 'of')	 : 1	 : 0.00035486160397445
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'least')	 : 2	 : 0.00042637862421830583
('least', 'volatile')	 : 1	 : 0.0003563791874554526
('volatile', 'years')	 : 1	 : 0.0003566969859104691
('years', 'in')	 : 1	 : 0.0003536067892503536
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'last')	 : 4	 : 0.0007106310403638431
('last', '30')	 : 1	 : 0.0003546728143287817
('30', 'or')	 : 1	 : 0.00035656979853806385
('or', '40')	 : 1	 : 0.00035323207347227127
('40', 'years')	 : 2	 : 0.0005348546978070957
('years', '.')	 : 6	 : 0.0012376237623762376
